Lake,Region,Tier,Prospect,Type,Contact,Source,Notes,Status
Cass Lake,Northern Lakes,2,Affinity Real Estate (Lou Eischens / Jack Brann),Brokerage,218-237-3333,affinityrealestate.com,Cass Lake brokers,Prospect
Cass Lake,Northern Lakes,2,Coldwell Banker Northwoods,Brokerage,,coldwellbankernorthwoods.com,Covers Cass County,Prospect
Lake Winnibigoshish,Northern Lakes,2,Affinity Real Estate,Brokerage,218-237-3333,affinityrealestate.com,Cass/Winnie area (Deer River),Prospect
Lake Winnibigoshish,Northern Lakes,2,Edge of the Wilderness Realty,Brokerage,,eowrealty.com,Deer River/Winnie lakefront,Prospect
Lake Minnewaska,West Central MN,2,Minnewaska Insurance & Real Estate,Brokerage,,minnewaskare.com,Since 1999; Starbuck/Glenwood,Prospect
Lake Minnewaska,West Central MN,2,LakehomesMinnesota.com (Dan),Agent,,homes.lakehomesminnesota.com,Minnewaska lakefront,Prospect
Lake Minnewaska,West Central MN,2,Counselor Realty Glenwood,Brokerage,,counselorrealty.com,Glenwood/Pope County,Prospect
Green Lake,West Central MN,2,Weishalla Homes,Brokerage,,weishallahomes.com,Spicer / Green Lake,Prospect
Green Lake,West Central MN,2,Kris Lindahl Real Estate,Brokerage,855-967-7653,krislindahl.com,Kandiyohi County,Prospect
Green Lake,West Central MN,2,RE/MAX (Green Lake),Brokerage,,remax.com,Green Lake listings,Prospect
Pelican Lake,Brainerd Lakes,2,Chris Cullen Real Estate Group,Brokerage,,cullenregroup.com,Breezy Point/Pequot waterfront,Prospect
Pelican Lake,Brainerd Lakes,2,Sandy Smith Real Estate,Agent,,sandysmithre.com,Pequot/Breezy Point,Prospect
Pelican Lake,Brainerd Lakes,2,Larson Group Real Estate,Brokerage,,larsongrouprealestate.com,Brainerd Lakes incl Breezy Point,Prospect
Pelican Lake,Brainerd Lakes,2,Watters Edge Realty Group,Brokerage,,watters-edge.com,Pequot/Breezy Point,Prospect
Burntside Lake,Iron Range / Arrowhead,2,Bear Island Realty,Brokerage,,bearislandrealty.com,Ely; Burntside luxury,Prospect
Burntside Lake,Iron Range / Arrowhead,2,Lake Vermilion Realty,Brokerage,,lakevermilionrealty.com,Burntside listings,Prospect
Burntside Lake,Iron Range / Arrowhead,2,B.I.C. Realty,Brokerage,,mn.bicrealty.com,Burntside / Ely,Prospect
Burntside Lake,Iron Range / Arrowhead,2,Lori Schulze (Keller Williams Ely),Agent,,,Ely area,Prospect
Ten Mile Lake,Brainerd Lakes,2,Moran Realty,Brokerage,,moranrealty.com,Longville/Hackensack; Ten Mile/Woman,Prospect
Ten Mile Lake,Brainerd Lakes,2,Bill Hansen Realty,Brokerage,,billhansenrealty.com,Longville/Hackensack/Walker,Prospect
Ten Mile Lake,Brainerd Lakes,2,Melanie Mix (Northern Lakes Realtor),Agent,,northernlakesrealtor.com,Since 1993; Longville area,Prospect
Ten Mile Lake,Brainerd Lakes,2,Mark Tietjen (Rustys Up North Realty),Agent,,upnorthrealtymn.com,Longville/Hackensack lakeshore,Prospect
Big Sandy Lake,Brainerd Lakes,2,Coldwell Banker Northwoods,Brokerage,,coldwellbankernorthwoods.com,Covers Aitkin County (McGregor),Prospect
Big Sandy Lake,Brainerd Lakes,2,Bill Hansen Realty,Brokerage,,billhansenrealty.com,Northern MN lakeshore,Prospect
Lake Kabetogama,Border Waters,2,Move It Real Estate Group,Brokerage,,rainylake.com,Border Lakes incl Kabetogama,Prospect
Lake Kabetogama,Border Waters,2,RE/MAX Lake Country,Brokerage,218-757-3233,thelakecountry.com,International Falls / Voyageurs area,Prospect
